year,C.N_mean,C.N_SD,C.N_lowCI,C.N_highCI,C.P_mean,C.P_SD,C.P_lowCI,C.P_highCI,N.P_mean,N.P_SD,N.P_lowCI,N.P_highCI
1987,4.5611120559166,0.0540652217996289,4.46528052258774,4.66014839343286,49.190427642693,1.07994341465061,47.2582354955837,51.0552045559802,10.7851318127273,0.219377547697822,10.354740319751,11.1721575163493
1988,4.567693216772,0.0540911255432932,4.45980371004152,4.68220265157933,49.4397376529381,1.47889354943901,46.3432100727271,51.7898560614514,10.8245715243913,0.324762647556987,10.1263602171445,11.310375393157
1989,4.54799511037504,0.0623531054475791,4.42803058535658,4.6650695743917,49.5330009327008,1.68796559958431,44.7791894258579,52.3860512853122,10.8918969491788,0.363281023637493,9.94674884855597,11.5215451852937
1990,4.55172007719533,0.0485314362071753,4.46042047243009,4.65018526881985,49.3250376082401,1.38011505795975,46.1362009490384,51.5681018048068,10.8366330796503,0.283271537785738,10.2227799070053,11.3144092005904
1991,4.54587665098277,0.05836651360645,4.43356685644454,4.65054456668894,49.320474871768,1.53065044666197,45.84159212269,51.9509921355655,10.8496464680183,0.312745982663138,10.1631893408046,11.3778508150816
1992,4.526978159156,0.0784689800806285,4.37875395860039,4.67731697292529,48.4163557608048,2.2671414181073,44.0673173847646,52.1656879985479,10.6963918995094,0.49396341113201,9.69488154259583,11.4656824766901
1993,4.52224249339139,0.111707066245069,4.31434037508195,4.74695560667605,48.5213384773741,2.8781457707996,42.5403362867709,53.2952434507786,10.7313862904096,0.613681491247454,9.37630927290413,11.7598493173831
1994,4.50160306168547,0.139259890408257,4.18591873738905,4.78838896367099,47.366408099423,4.22014986452487,39.2839700853469,53.509668829749,10.5212919604161,0.87406865931223,8.67365126349076,11.9424083949041
1995,4.54537111828376,0.105712544570922,4.38586196098422,4.78210773900961,47.6333812451796,2.60979314091844,42.9054016716083,52.7019784403889,10.4807397423518,0.540837490132999,9.33620541775677,11.3786694874599
1996,4.51218356226041,0.111985403198943,4.34637552403141,4.73669241655052,48.5086791596505,2.69870208182378,42.5160398692075,52.0946959877042,10.7507235780486,0.542872181353351,9.47501018459711,11.5809595735628
1997,4.54921799802678,0.0981790091749428,4.36230269103555,4.73707574901441,48.7887617144443,2.12909386778878,44.5209607043754,52.8416152759578,10.7269704174846,0.461168088955038,9.7615964365908,11.460630532464
1998,4.58562762808685,0.0414183722454795,4.51254756102071,4.66191801026547,49.1826971606052,0.783390290591785,47.7353439861641,50.7356976158204,10.7258993159869,0.174911349793145,10.4011874426179,11.076300539604
1999,4.51596889437038,0.104527204728797,4.35930310896129,4.72576146095877,48.7588331862608,2.69753529502693,42.9044887863246,53.2419695550265,10.8001075086926,0.603157831346643,9.57940962800805,11.7950323514056
2000,4.47859535240466,0.130019536505145,4.2480307043233,4.74701500862247,48.4259443933978,3.30518628803858,41.329261990679,53.6249894514828,10.816933401913,0.733030412078426,9.31291972330329,11.8760479847615
2001,4.51504543575408,0.115039277958861,4.30633771653133,4.7192448170335,48.3831885462634,2.80419763420074,42.4476695158703,53.0284939088204,10.717258367242,0.581881960052951,9.33661133088607,11.6416388980221
2002,4.49637981033341,0.125130984726933,4.26281020296388,4.73924584247208,48.6062051686291,3.05418250391213,41.3462115686116,53.9162543014509,10.8115630118187,0.639116682597647,9.51117243899281,11.9376081955081
2003,4.51931622120843,0.0834493620262719,4.36944976060935,4.67210634342489,47.7650120405641,2.15085449042681,43.1581756597894,51.2538650333177,10.5693042713218,0.439137269289585,9.64824114274014,11.2110581839184
2004,4.46726717374404,0.130750976499153,4.24149212126896,4.6928924636819,47.2036442197827,3.34177039780037,39.2671734889089,53.4342265038827,10.5685780073977,0.706575994149469,8.7203289908981,11.728519974302
2005,4.47047275412222,0.119977560093636,4.24316336634767,4.73857907605153,46.9469008036533,3.30788693680986,40.8713312462902,52.5040659545476,10.5070133909274,0.76180148732563,8.96078060903036,11.6455623704659
2006,4.52662888366661,0.103377493648121,4.32915849738265,4.7254258095442,48.3233003407846,2.56839355521262,42.3906434080936,51.6939512322112,10.6780685948701,0.568064931246066,9.46468269444929,11.4083464469712
2007,4.51531625676352,0.102815869729064,4.32150453923601,4.72745069705925,48.2848330730331,2.62152051107326,43.1149271213624,52.6839802758463,10.6958785896069,0.57139371991481,9.40369259005163,11.484286991333
2008,4.53445589411777,0.105872801442134,4.31336626445804,4.71816259824699,48.3885279312115,2.70863967969828,42.5940867447727,53.5696609141457,10.6740387549061,0.592393731071163,9.36712859839239,11.6518815805743
2009,4.57488546039694,0.099014764965454,4.3909530423449,4.76963065690583,48.2705912335161,2.66210717578585,43.9391611302859,52.526681782122,10.5540023243018,0.589072088529153,9.32832528451106,11.4857904843827
2010,4.57958326379058,0.0566632816944155,4.46346070331297,4.68843011757635,49.1894160213295,1.45034374562502,46.0069215400033,51.4160519600752,10.7417793418775,0.314472131895879,10.0118682831436,11.2622057361703
2011,4.51689608427244,0.110361328941467,4.31408542996195,4.74924901392233,48.2546938670153,3.22018881257253,40.4057578831546,53.7706222016498,10.6849560561485,0.691428281757242,9.04772828437938,11.6737142931028
2012,4.5493127483366,0.0749988449959672,4.42507760981878,4.70215995779058,49.1364435391373,1.7722001389856,44.691834240309,51.8367468637626,10.8024507788543,0.39336205135574,9.81089062979809,11.3619500790334
2013,4.52123790587816,0.0919933048361805,4.37010331995809,4.69397369175082,48.7081098214581,2.36608940188223,42.7945387236228,52.2769873095618,10.7752417830898,0.519171055075765,9.49633471374131,11.5921806188348
2014,4.5817213855924,0.04763593780262,4.49847729346932,4.66690267099198,49.7141126795032,1.21344025485241,47.2169902066956,51.8592038260067,10.8507061877493,0.247648026430686,10.3594481703639,11.3150060165232
2015,4.59632269607979,0.075412184615589,4.45176840313477,4.74642662666466,49.6358967760042,1.83203102961411,45.1408092709897,53.2463881252764,10.7993548357663,0.367375208662196,9.88220748124122,11.3835740813963
2016,4.61162221343602,0.0627921198639195,4.4982778262343,4.73070948600293,49.7248775877794,1.51231274331255,46.926529074132,51.95618673986,10.7838010364948,0.337080185023257,10.0478693453616,11.3189864901688
2017,4.60439644682804,0.0630645046241551,4.49709377877815,4.73541485362999,49.3041281625007,1.63048852916299,46.0613813222877,52.0146141745927,10.7085552714904,0.338533969174517,10.0135394108855,11.2355582230334
2018,4.5630206780777,0.112283819104244,4.31853556126614,4.78077322555495,49.2405892369822,2.51054066948922,44.218385770386,53.1357059253097,10.7928205626423,0.517066594376997,9.75637677783606,11.5579795273776
